cblaster search
===============
GCA_000002655
=============
CM000172.1
----------
Cluster 1, score 28.3115:
Query         Subject       Identity  Coverage  E-value    Bitscore  Start    End      Strand
AFUA_4G14520  AFUB_071770  100       100       4.59e-195  537       2531132  2531924  +     
AFUA_4G14540  AFUB_071780  100       100       1.44e-290  790       2533110  2534301  -     
AFUA_4G14550  AFUB_071790  99.5      100       1.1e-308   839       2535672  2537038  -     
AFUA_4G14560  AFUB_071800  97.7      100       0          3435      2537343  2542875  -     
AFUA_4G14570  AFUB_071810  94.1      80.5      5.74e-230  635       2543259  2544279  +     
AFUA_4G14580  AFUB_071820  100       100       0          977       2544679  2546316  +     


GCA_000731615
=============
JHOI01000465.1
--------------
Cluster 4, score 25.2373:
Query         Subject    Identity  Coverage  E-value    Bitscore  Start  End    Strand
AFUA_4G14580  BA78_2646  99.8      100       0          977       30711  32348  -     
AFUA_4G14570  BA78_2651  99.4      80.5      2.24e-250  687       32748  33768  -     
AFUA_4G14560  BA78_2640  99.8      100       0          3535      34152  39683  +     
AFUA_4G14550  BA78_2633  99.5      100       5.47e-309  840       39988  41354  +     
AFUA_4G14540  BA78_2636  98.7      100       2.67e-286  779       42725  43916  +     
AFUA_4G14530  BA78_7083  99.6      100       3.33e-167  473       44005  45899  -     
AFUA_4G14510  BA78_2647  99.6      100       2.79e-210  577       46485  47509  +     
AFUA_4G14500  BA78_2644  100       100       0          899       47669  49007  -     
AFUA_4G14490  BA78_2649  99.3      100       0          1308      49496  51627  -     
AFUA_4G14470  BA78_8168  99.3      100       7.52e-105  299       51869  52396  -     
AFUA_4G14480  BA78_8020  100       100       9.81e-108  308       52670  53206  +     
AFUA_4G14460  BA78_2648  99.4      100       4.99e-243  663       53559  54519  +     
AFUA_4G14450  BA78_2639  100       100       0          1028      54917  56426  -     


GCA_001029325
=============
KQ087368.1
----------
Cluster 5, score 28.2896:
Query         Subject     Identity  Coverage  E-value    Bitscore  Start   End     Strand
AFUA_4G14450  Y699_09254  100       100       0          1028      336256  337765  +     
AFUA_4G14460  Y699_09255  100       100       1.28e-245  670       338163  339123  -     
AFUA_4G14480  Y699_09256  100       100       9.81e-108  308       339476  340012  -     
AFUA_4G14470  Y699_09257  100       100       1.85e-105  301       340286  340813  +     
AFUA_4G14490  Y699_09258  98.7      100       0          1290      341055  343186  +     
AFUA_4G14500  Y699_09259  99.3      100       0          892       343675  345013  +     
AFUA_4G14510  Y699_09260  97.2      100       3.6e-208   572       345173  346197  -     
AFUA_4G14520  Y699_09261  100       100       4.59e-195  537       346783  347575  +     
AFUA_4G14530  Y699_09262  99.6      100       4.96e-171  473       347994  348672  +     
AFUA_4G14540  Y699_09263  100       100       1.44e-290  790       348761  349952  -     
AFUA_4G14550  Y699_09264  99.5      100       1.1e-308   839       351403  352769  -     
AFUA_4G14560  Y699_09265  99.7      100       0          3534      353074  358605  -     
AFUA_4G14570  Y699_09266  99.7      80.5      4.51e-250  686       358989  360009  +     
AFUA_4G14580  Y699_09267  99.8      100       0          976       360409  362046  +     


GCA_001078395
=============
BBXM02000005.1
--------------
Cluster 6, score 5.2692:
Query         Subject     Identity  Coverage  E-value    Bitscore  Start   End     Strand
AFUA_4G14460  Aud_006874  88.4      100       3.23e-214  590       185313  186273  -     
AFUA_4G14470  Aud_006876  92.3      100       1.81e-97   281       187445  187994  +     
AFUA_4G14490  Aud_006877  87.2      100       0          1156      188264  190409  +     
AFUA_4G14550  Aud_006883  79.9      99.1      9.83e-240  665       198723  200084  -     


GCA_001445615
=============
BCLY01000009.1
--------------
Cluster 7, score 7.7270:
Query         Subject   Identity  Coverage  E-value    Bitscore  Start    End      Strand
AFUA_4G14450  ALT_5861  96.6      100       0          998       3164831  3166340  +     
AFUA_4G14490  ALT_5863  88        100       0          1152      3168915  3171850  +     
AFUA_4G14520  ALT_5866  90.8      99.2      1.25e-174  486       3175592  3176414  +     
AFUA_4G14530  ALT_5867  93.8      100       1.65e-160  447       3176785  3177463  +     
AFUA_4G14560  ALT_5869  91.9      99.5      0          3261      3180203  3187423  -     
AFUA_4G14580  ALT_5870  94.2      100       0          926       3187812  3190844  +     


GCA_002234955
=============
NKHT01000199.1
--------------
Cluster 8, score 23.1177:
Query         Subject      Identity  Coverage  E-value    Bitscore  Start  End    Strand
AFUA_4G14450  CDV57_06834  100       100       0          1028      20216  21725  +     
AFUA_4G14460  CDV57_06835  100       100       1.28e-245  670       22123  23083  -     
AFUA_4G14480  CDV57_06836  100       100       9.81e-108  308       23436  23972  -     
AFUA_4G14470  CDV57_06837  93        100       1.48e-93   270       24246  24773  +     
AFUA_4G14490  CDV57_06838  98.7      100       0          1290      25015  27146  +     
AFUA_4G14500  CDV57_06839  99.3      100       0          892       27635  28973  +     
AFUA_4G14510  CDV57_06840  100       100       3.39e-211  580       29133  30157  -     
AFUA_4G14520  CDV57_06841  100       100       4.59e-195  537       30743  31535  +     
AFUA_4G14530  CDV57_06842  99.6      100       4.96e-171  473       31954  32632  +     
AFUA_4G14540  CDV57_06843  100       100       1.1e-264   790       32721  42460  -     
AFUA_4G14550  CDV57_06843  99.3      93.1      2.39e-259  778       32721  42460  -     
AFUA_4G14560  CDV57_06843  99.6      99.8      0          3521      32721  42460  -     
AFUA_4G14570  CDV57_06844  93.8      80.5      1.35e-228  631       42844  43864  +     
AFUA_4G14580  CDV57_06845  100       100       0          977       44264  45901  +     


GCA_002234985
=============
NKHS01000082.1
--------------
Cluster 9, score 28.2913:
Query         Subject      Identity  Coverage  E-value    Bitscore  Start  End    Strand
AFUA_4G14580  CDV58_04081  100       100       0          977       57018  58655  -     
AFUA_4G14570  CDV58_04082  99.7      80.5      4.51e-250  686       59055  60075  -     
AFUA_4G14560  CDV58_04083  100       100       0          3541      60459  65990  +     
AFUA_4G14550  CDV58_04084  99.5      100       1.1e-308   839       66295  67661  +     
AFUA_4G14540  CDV58_04085  100       100       2.64e-290  790       68933  70223  +     
AFUA_4G14530  CDV58_04086  100       100       3.49e-171  474       70312  70990  -     
AFUA_4G14520  CDV58_04087  100       100       4.59e-195  537       71407  72199  -     
AFUA_4G14510  CDV58_04088  100       100       3.39e-211  580       72785  73809  +     
AFUA_4G14500  CDV58_04089  99.8      100       0          895       73969  75307  -     
AFUA_4G14490  CDV58_04090  98.7      100       0          1290      75796  77927  -     
AFUA_4G14470  CDV58_04091  100       100       1.85e-105  301       78169  78696  -     
AFUA_4G14480  CDV58_04092  100       100       9.81e-108  308       78970  79506  +     
AFUA_4G14460  CDV58_04093  100       100       1.28e-245  670       79859  80819  +     
AFUA_4G14450  CDV58_04094  99.8      100       0          1025      81217  82726  -     


GCA_002847465
=============
MSZS01000005.1
--------------
Cluster 10, score 4.2549:
Query         Subject           Identity  Coverage  E-value    Bitscore  Start   End     Strand
AFUA_4G14580  P174DRAFT_373577  94.2      100       0          920       178099  179732  -     
AFUA_4G14570  P174DRAFT_512948  77.9      100       4.22e-227  629       180126  181421  -     
AFUA_4G14450  P174DRAFT_407835  96.8      100       0          1000      187044  189183  -     


GCA_003184745
=============
KZ821679.1
----------
Cluster 11, score 1.0269:
Query         Subject           Identity  Coverage  E-value   Bitscore  Start   End     Strand
AFUA_4G14470  BO82DRAFT_327503  87.9      99.3      8.44e-93  269       685543  686198  +     


GCA_003184865
=============
KZ824283.1
----------
Cluster 12, score 1.0270:
Query         Subject           Identity  Coverage  E-value   Bitscore  Start  End    Strand
AFUA_4G14470  BO97DRAFT_344868  88.7      99.3      2.07e-93  270       61506  62075  +     


GCA_003426965
=============
QUQM01000007.1
--------------
Cluster 13, score 1.0241:
Query         Subject           Identity  Coverage  E-value   Bitscore  Start    End      Strand
AFUA_4G14470  ATNIH1004_008015  78.2      100       8.04e-82  241       4265580  4266071  -     


GCA_010723835
=============
BLKC01000094.1
--------------
Cluster 14, score 4.2009:
Query         Subject         Identity  Coverage  E-value   Bitscore  Start  End    Strand
AFUA_4G14570  IFM46972_09472  87        80.5      5.1e-210  584       61512  62533  -     
AFUA_4G14490  IFM46972_09478  86.4      100       0         1145      78457  80602  -     
AFUA_4G14470  IFM46972_09479  92.3      100       5.19e-97  280       80872  81421  -     


GCA_010723975
=============
BLKD01000027.1
--------------
Cluster 15, score 24.0198:
Query         Subject         Identity  Coverage  E-value    Bitscore  Start   End     Strand
AFUA_4G14480  IFM47457_05230  87        100       9.64e-94   273       213065  213627  -     
AFUA_4G14470  IFM47457_05231  94.4      100       3.8e-99    285       213901  214448  +     
AFUA_4G14490  IFM47457_05232  90.8      100       0          1194      214699  216835  +     
AFUA_4G14500  IFM47457_05233  88.3      100       4.15e-292  798       217344  218682  +     
AFUA_4G14510  IFM47457_05234  91.8      100       5.34e-199  549       218922  219939  -     
AFUA_4G14520  IFM47457_05235  90.8      99.2      1.08e-174  486       220584  221394  +     
AFUA_4G14530  IFM47457_05236  93.8      100       1.65e-160  447       221765  222443  +     
AFUA_4G14540  IFM47457_05237  84.3      100       2.27e-239  660       222526  223717  -     
AFUA_4G14550  IFM47457_05238  83.4      99.1      1.17e-253  700       225185  226558  -     
AFUA_4G14560  IFM47457_05239  91.9      100       0          3284      226868  232413  -     
AFUA_4G14570  IFM47457_05240  88.5      80.5      2.92e-216  600       232806  233827  +     
AFUA_4G14580  IFM47457_05241  94        100       0          922       234224  235852  +     


GCA_010724255
=============
BLKF01000083.1
--------------
Cluster 16, score 2.1245:
Query         Subject         Identity  Coverage  E-value    Bitscore  Start  End    Strand
AFUA_4G14550  IFM51744_07825  78.1      99.1      1.09e-236  657       46987  48348  -     
AFUA_4G14570  IFM51744_07827  87.3      80.5      2.17e-211  588       54568  55589  +     


GCA_010724335
=============
BLKG01000050.1
--------------
Cluster 17, score 2.1240:
Query         Subject         Identity  Coverage  E-value    Bitscore  Start   End     Strand
AFUA_4G14550  IFM53868_05167  77.8      99.1      6.27e-236  655       95474   96835   -     
AFUA_4G14570  IFM53868_05169  87        80.5      3.59e-210  585       103082  104103  +     


GCA_010724455
=============
BLKH01000032.1
--------------
Cluster 18, score 24.0194:
Query         Subject         Identity  Coverage  E-value    Bitscore  Start   End     Strand
AFUA_4G14480  IFM58399_05747  87        100       3.22e-92   269       213585  214146  -     
AFUA_4G14470  IFM58399_05748  93.7      100       6.31e-98   282       214420  214967  +     
AFUA_4G14490  IFM58399_05749  91.1      100       0          1199      215217  217354  +     
AFUA_4G14500  IFM58399_05750  88.5      100       1.45e-292  799       217863  219201  +     
AFUA_4G14510  IFM58399_05751  91.8      100       5.34e-199  549       219441  220458  -     
AFUA_4G14520  IFM58399_05752  90.8      99.2      1.08e-174  486       221103  221913  +     
AFUA_4G14530  IFM58399_05753  93.8      100       1.65e-160  447       222284  222962  +     
AFUA_4G14540  IFM58399_05754  84.3      100       2.27e-239  660       223045  224236  -     
AFUA_4G14550  IFM58399_05755  83.4      99.1      1.17e-253  700       225704  227077  -     
AFUA_4G14560  IFM58399_05756  91.9      100       0          3281      227387  232932  -     
AFUA_4G14570  IFM58399_05757  88.5      80.5      2.92e-216  600       233325  234346  +     
AFUA_4G14580  IFM58399_05758  94        100       0          922       234743  236371  +     


GCA_010724575
=============
BLKI01000024.1
--------------
Cluster 19, score 24.0198:
Query         Subject         Identity  Coverage  E-value    Bitscore  Start   End     Strand
AFUA_4G14480  IFM60648_04880  87        100       9.64e-94   273       213283  213845  -     
AFUA_4G14470  IFM60648_04881  94.4      100       3.8e-99    285       214119  214666  +     
AFUA_4G14490  IFM60648_04882  90.8      100       0          1194      214917  217053  +     
AFUA_4G14500  IFM60648_04883  88.3      100       4.15e-292  798       217562  218900  +     
AFUA_4G14510  IFM60648_04884  91.8      100       5.34e-199  549       219140  220157  -     
AFUA_4G14520  IFM60648_04885  90.8      99.2      1.08e-174  486       220802  221612  +     
AFUA_4G14530  IFM60648_04886  93.8      100       1.65e-160  447       221983  222661  +     
AFUA_4G14540  IFM60648_04887  84.3      100       2.27e-239  660       222744  223935  -     
AFUA_4G14550  IFM60648_04888  83.4      99.1      1.17e-253  700       225403  226776  -     
AFUA_4G14560  IFM60648_04889  91.9      100       0          3284      227086  232631  -     
AFUA_4G14570  IFM60648_04890  88.5      80.5      2.92e-216  600       233024  234045  +     
AFUA_4G14580  IFM60648_04891  94        100       0          922       234442  236070  +     


GCA_010724635
=============
BLKJ01000026.1
--------------
Cluster 20, score 24.0200:
Query         Subject         Identity  Coverage  E-value    Bitscore  Start   End     Strand
AFUA_4G14480  IFM61392_05477  87        100       9.64e-94   273       213636  214198  -     
AFUA_4G14470  IFM61392_05478  94.4      100       3.8e-99    285       214472  215019  +     
AFUA_4G14490  IFM61392_05479  90.8      100       0          1194      215270  217406  +     
AFUA_4G14500  IFM61392_05480  88.3      100       4.15e-292  798       217915  219253  +     
AFUA_4G14510  IFM61392_05481  91.8      100       5.34e-199  549       219493  220510  -     
AFUA_4G14520  IFM61392_05482  90.8      99.2      1.08e-174  486       221155  221965  +     
AFUA_4G14530  IFM61392_05483  93.8      100       1.65e-160  447       222336  223014  +     
AFUA_4G14540  IFM61392_05484  84.3      100       2.27e-239  660       223097  224288  -     
AFUA_4G14550  IFM61392_05485  83.6      99.1      2.88e-254  702       225756  227129  -     
AFUA_4G14560  IFM61392_05486  91.9      100       0          3284      227439  232984  -     
AFUA_4G14570  IFM61392_05487  88.5      80.5      2.92e-216  600       233377  234398  +     
AFUA_4G14580  IFM61392_05488  94        100       0          922       234795  236423  +     


GCA_010724795
=============
BLKK01000151.1
--------------
Cluster 21, score 2.1243:
Query         Subject         Identity  Coverage  E-value    Bitscore  Start  End    Strand
AFUA_4G14570  IFM61606_06283  87.3      80.5      2.17e-211  588       16712  17733  -     
AFUA_4G14550  IFM61606_06285  77.8      99.1      6.27e-236  655       23952  25313  +     


GCA_010724915
=============
BLKL01000019.1
--------------
Cluster 22, score 28.1764:
Query         Subject         Identity  Coverage  E-value    Bitscore  Start   End     Strand
AFUA_4G14450  IFM62136_03663  96.8      100       0          999       223493  225002  +     
AFUA_4G14460  IFM62136_03664  88.4      100       1.37e-215  594       225376  226336  -     
AFUA_4G14480  IFM62136_03665  87        100       3.22e-92   269       226739  227300  -     
AFUA_4G14470  IFM62136_03666  93.7      100       6.31e-98   282       227574  228121  +     
AFUA_4G14490  IFM62136_03667  90.8      100       0          1194      228372  230508  +     
AFUA_4G14500  IFM62136_03668  88.3      100       4.15e-292  798       231017  232355  +     
AFUA_4G14510  IFM62136_03669  91.8      100       5.34e-199  549       232595  233612  -     
AFUA_4G14520  IFM62136_03670  90.8      99.2      1.25e-174  486       234245  235067  +     
AFUA_4G14530  IFM62136_03671  93.8      100       1.65e-160  447       235438  236116  +     
AFUA_4G14540  IFM62136_03672  84.3      100       2.27e-239  660       236199  237390  -     
AFUA_4G14550  IFM62136_03673  83.4      99.1      1.17e-253  700       238858  240231  -     
AFUA_4G14560  IFM62136_03674  91.5      100       0          3264      240541  246086  -     
AFUA_4G14570  IFM62136_03675  88.5      80.5      2.92e-216  600       246479  247500  +     
AFUA_4G14580  IFM62136_03676  94        100       0          922       247897  249525  +     


GCA_012656115
=============
JAAAQC010000063.1
-----------------
Cluster 23, score 23.1233:
Query         Subject           Identity  Coverage  E-value    Bitscore  Start  End    Strand
AFUA_4G14580  CNMCM8686_007378  99.8      100       0          974       64674  66311  -     
AFUA_4G14570  CNMCM8686_007379  99.7      80.5      4.51e-250  686       66711  67731  -     
AFUA_4G14540  CNMCM8686_007380  100       100       1.1e-264   790       68115  77872  +     
AFUA_4G14550  CNMCM8686_007380  99.5      93.1      3.25e-260  780       68115  77872  +     
AFUA_4G14560  CNMCM8686_007380  99.8      99.8      0          3532      68115  77872  +     
AFUA_4G14530  CNMCM8686_007381  100       100       3.49e-171  474       77961  78639  -     
AFUA_4G14520  CNMCM8686_007382  100       100       4.59e-195  537       79056  79848  -     
AFUA_4G14510  CNMCM8686_007383  100       100       3.39e-211  580       80434  81458  +     
AFUA_4G14500  CNMCM8686_007384  99.3      100       0          892       81618  82956  -     
AFUA_4G14490  CNMCM8686_007385  98.7      100       0          1290      83445  85573  -     
AFUA_4G14470  CNMCM8686_007386  93        100       1.48e-93   270       85815  86342  -     
AFUA_4G14480  CNMCM8686_007387  98.8      100       1.46e-104  300       86616  87146  +     
AFUA_4G14460  CNMCM8686_007388  100       100       1.28e-245  670       87499  88459  +     
AFUA_4G14450  CNMCM8686_007389  100       100       0          1028      88857  90366  -     


GCA_012656125
=============
JAAAQD010000061.1
-----------------
Cluster 24, score 23.1259:
Query         Subject           Identity  Coverage  E-value    Bitscore  Start  End    Strand
AFUA_4G14450  CNMCM8689_007107  100       100       0          1028      45828  47337  +     
AFUA_4G14460  CNMCM8689_007108  100       100       1.28e-245  670       47735  48695  -     
AFUA_4G14480  CNMCM8689_007109  100       100       9.81e-108  308       49048  49584  -     
AFUA_4G14470  CNMCM8689_007110  93        100       1.48e-93   270       49858  50385  +     
AFUA_4G14490  CNMCM8689_007111  99.2      100       0          1296      50626  52754  +     
AFUA_4G14500  CNMCM8689_007112  100       100       0          899       53243  54581  +     
AFUA_4G14510  CNMCM8689_007113  100       100       3.39e-211  580       54741  55765  -     
AFUA_4G14520  CNMCM8689_007114  100       100       4.59e-195  537       56351  57143  +     
AFUA_4G14530  CNMCM8689_007115  99.6      100       4.96e-171  473       57562  58240  +     
AFUA_4G14540  CNMCM8689_007116  100       100       1.1e-264   790       58329  68093  -     
AFUA_4G14550  CNMCM8689_007116  99.3      93.1      2.39e-259  778       58329  68093  -     
AFUA_4G14560  CNMCM8689_007116  100       99.8      0          3535      58329  68093  -     
AFUA_4G14570  CNMCM8689_007117  99.7      80.5      4.51e-250  686       68477  69497  +     
AFUA_4G14580  CNMCM8689_007118  100       100       0          977       69897  71534  +     


GCA_012656165
=============
JAAAQB010000093.1
-----------------
Cluster 25, score 23.1230:
Query         Subject           Identity  Coverage  E-value    Bitscore  Start  End    Strand
AFUA_4G14450  CNMCM8812_008665  100       100       0          1028      7223   8732   +     
AFUA_4G14460  CNMCM8812_008666  100       100       1.28e-245  670       9130   10090  -     
AFUA_4G14480  CNMCM8812_008667  98.8      100       1.46e-104  300       10443  10973  -     
AFUA_4G14470  CNMCM8812_008668  93        100       1.48e-93   270       11247  11774  +     
AFUA_4G14490  CNMCM8812_008669  98.9      100       0          1292      12016  14147  +     
AFUA_4G14500  CNMCM8812_008670  99.3      100       0          892       14636  15974  +     
AFUA_4G14510  CNMCM8812_008671  100       100       3.39e-211  580       16134  17158  -     
AFUA_4G14520  CNMCM8812_008672  100       100       4.59e-195  537       17744  18536  +     
AFUA_4G14530  CNMCM8812_008673  99.1      100       2.87e-170  471       18955  19633  +     
AFUA_4G14540  CNMCM8812_008674  100       100       1.1e-264   790       19722  29466  -     
AFUA_4G14550  CNMCM8812_008674  99.3      93.1      2.39e-259  778       19722  29466  -     
AFUA_4G14560  CNMCM8812_008674  99.7      99.8      0          3528      19722  29466  -     
AFUA_4G14570  CNMCM8812_008675  99.7      80.5      4.51e-250  686       29850  30870  +     
AFUA_4G14580  CNMCM8812_008676  99.8      100       0          976       31270  32907  +     


GCA_012656185
=============
JAAAQA010000267.1
-----------------
Cluster 26, score 23.1234:
Query         Subject           Identity  Coverage  E-value    Bitscore  Start  End    Strand
AFUA_4G14580  CNMCM8714_003456  99.8      100       0          976       3845   5482   -     
AFUA_4G14570  CNMCM8714_003457  99.7      80.5      4.51e-250  686       5882   6902   -     
AFUA_4G14540  CNMCM8714_003458  100       100       1.1e-264   790       7286   17025  +     
AFUA_4G14550  CNMCM8714_003458  99.3      93.1      2.39e-259  778       7286   17025  +     
AFUA_4G14560  CNMCM8714_003458  99.6      99.8      0          3524      7286   17025  +     
AFUA_4G14530  CNMCM8714_003459  99.6      100       4.96e-171  473       17114  17792  -     
AFUA_4G14520  CNMCM8714_003460  100       100       4.59e-195  537       18211  19003  -     
AFUA_4G14510  CNMCM8714_003461  100       100       3.39e-211  580       19589  20613  +     
AFUA_4G14500  CNMCM8714_003462  99.3      100       0          892       20773  22111  -     
AFUA_4G14490  CNMCM8714_003463  98.7      100       0          1290      22600  24731  -     
AFUA_4G14470  CNMCM8714_003464  93        100       1.48e-93   270       24973  25500  -     
AFUA_4G14480  CNMCM8714_003465  100       100       9.81e-108  308       25774  26310  +     
AFUA_4G14460  CNMCM8714_003466  100       100       1.28e-245  670       26663  27623  +     
AFUA_4G14450  CNMCM8714_003467  100       100       0          1028      28021  29530  -     


GCA_012656215
=============
JAAAPZ010000016.1
-----------------
Cluster 27, score 23.1259:
Query         Subject           Identity  Coverage  E-value    Bitscore  Start   End     Strand
AFUA_4G14450  CNMCM8057_001861  100       100       0          1028      99969   101478  +     
AFUA_4G14460  CNMCM8057_001862  100       100       1.28e-245  670       101876  102836  -     
AFUA_4G14480  CNMCM8057_001863  100       100       9.81e-108  308       103189  103725  -     
AFUA_4G14470  CNMCM8057_001864  93        100       1.48e-93   270       103999  104526  +     
AFUA_4G14490  CNMCM8057_001865  99.2      100       0          1296      104768  106899  +     
AFUA_4G14500  CNMCM8057_001866  100       100       0          899       107388  108726  +     
AFUA_4G14510  CNMCM8057_001867  100       100       3.39e-211  580       108886  109910  -     
AFUA_4G14520  CNMCM8057_001868  100       100       4.59e-195  537       110496  111288  +     
AFUA_4G14530  CNMCM8057_001869  100       100       3.49e-171  474       111703  112381  +     
AFUA_4G14540  CNMCM8057_001870  100       100       1.1e-264   790       112470  122234  -     
AFUA_4G14550  CNMCM8057_001870  99.5      93.1      3.25e-260  780       112470  122234  -     
AFUA_4G14560  CNMCM8057_001870  99.9      99.8      0          3534      112470  122234  -     
AFUA_4G14570  CNMCM8057_001871  99.7      80.5      4.51e-250  686       122618  123638  +     
AFUA_4G14580  CNMCM8057_001872  100       100       0          977       124038  125675  +     


GCA_012656225
=============
JAAAPY010000014.1
-----------------
Cluster 28, score 14.8721:
Query         Subject           Identity  Coverage  E-value    Bitscore  Start   End     Strand
AFUA_4G14560  CNMCM8980_001937  91.6      99.9      0          3259      91114   98329   +     
AFUA_4G14540  CNMCM8980_001938  85.6      100       8.7e-244   672       99662   100853  +     
AFUA_4G14530  CNMCM8980_001939  94.7      100       3.47e-162  451       100932  101610  -     
AFUA_4G14520  CNMCM8980_001940  91.6      99.2      9.64e-178  494       101973  102783  -     
AFUA_4G14500  CNMCM8980_001942  87.6      99.8      1.14e-289  792       104679  106017  -     
AFUA_4G14490  CNMCM8980_001943  89.8      100       0          1180      106427  109361  -     
AFUA_4G14480  CNMCM8980_001944  87.7      100       4.78e-94   274       109636  110197  +     
AFUA_4G14460  CNMCM8980_001945  90.9      100       4.29e-219  603       110601  111561  +     
AFUA_4G14450  CNMCM8980_001946  96.4      100       0          996       111907  113416  -     


GCA_012656285
=============
JAAAPX010000015.1
-----------------
Cluster 29, score 16.8014:
Query         Subject           Identity  Coverage  E-value    Bitscore  Start   End     Strand
AFUA_4G14450  CNMCM6805_002396  96.4      100       0          998       165316  166825  +     
AFUA_4G14460  CNMCM6805_002397  91.2      100       7.41e-220  605       167170  168130  -     
AFUA_4G14480  CNMCM6805_002398  86.4      100       3.93e-93   271       168535  169096  -     
AFUA_4G14510  CNMCM6805_002401  92.9      100       7.59e-199  548       174276  175296  -     
AFUA_4G14520  CNMCM6805_002402  91.2      99.2      3.93e-177  492       175947  176757  +     
AFUA_4G14530  CNMCM6805_002403  94.2      100       9.95e-162  450       177120  177798  +     
AFUA_4G14540  CNMCM6805_002404  85.4      100       1.01e-242  669       177877  179068  -     
AFUA_4G14550  CNMCM6805_002405  84.8      99.1      1.83e-257  710       180407  181780  -     
AFUA_4G14560  CNMCM6805_002406  91.6      100       0          3271      182090  187635  -     


GCA_012656295
=============
JAAAPW010000003.1
-----------------
Cluster 30, score 16.8017:
Query         Subject           Identity  Coverage  E-value    Bitscore  Start   End     Strand
AFUA_4G14450  CNMCM6457_006399  96.4      100       0          998       307243  308752  +     
AFUA_4G14460  CNMCM6457_006400  91.2      100       7.41e-220  605       309097  310057  -     
AFUA_4G14480  CNMCM6457_006401  86.4      100       3.93e-93   271       310462  311023  -     
AFUA_4G14510  CNMCM6457_006404  92.9      100       7.59e-199  548       316203  317223  -     
AFUA_4G14520  CNMCM6457_006405  91.2      99.2      3.93e-177  492       317874  318684  +     
AFUA_4G14530  CNMCM6457_006406  94.2      100       9.95e-162  450       319047  319725  +     
AFUA_4G14540  CNMCM6457_006407  85.4      100       1.01e-242  669       319804  320995  -     
