cblaster search
===============
AB196490
========
AB196490.1
----------
Cluster 1, score 37.0897:
Query       Subject     Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS90070.1  AAS90000.1  97        100       2.16e-188  521       28181  29171  +     
AAS90071.1  AAS90001.1  96.1      100       0          3145      30473  35594  -     
AAS90085.1  AAS90002.1  96.2      100       0          3701      36314  42159  +     
AAS90086.1  AAS90003.1  93.7      100       3.58e-290  793       43623  44928  -     
AAS90072.1  AAS90004.1  94.7      100       2.14e-292  798       45675  47142  +     
AAS90073.1  AAS90005.1  94.9      99.3      1.2e-188   522       47692  48523  +     
AAS90075.1  AAS90006.1  95.2      100       2.16e-230  631       49449  50449  +     
AAS90074.1  AAS90007.1  97.4      100       4.27e-288  783       50684  51969  +     
AAS90076.1  AAS90008.1  99.6      100       1.71e-185  513       52797  53697  +     
AAS90077.1  AAS90009.1  95.1      99.8      0          964       54730  56267  +     
AAS90078.1  AAS90010.1  95.2      100       0          981       57319  58918  -     
AAS90079.1  AAS90011.1  98.6      99        0          987       59315  60861  -     
AAS90090.1  AAS90017.1  91.5      100       4.05e-181  504       61870  62728  -     
AAS90080.1  AAS90012.1  97.2      100       8.84e-280  762       62900  64235  -     
AAS90081.1  AAS90013.1  96.4      100       0          1071      68326  70271  +     
AAS90088.1  AAS90019.1  98.6      100       0          1269      70784  72769  +     
AAS90082.1  AAS90014.1  95.5      100       0          1003      73346  74994  -     
AAS90084.1  AAS90016.1  95.1      100       6.97e-187  517       77626  78427  -     
AAS90089.1  AAS90020.1  93.7      99        0          955       78786  80379  -     


AY510453
========
AY510453.1
----------
Cluster 6, score 42.2902:
Query       Subject     Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS90069.1  AAS90021.1  98.5      100       0          1012      5134   7115   +     
AAS90070.1  AAS90023.1  99.3      100       1.16e-192  532       17022  18012  +     
AAS90071.1  AAS90024.1  99.9      100       0          3255      19318  24439  -     
AAS90085.1  AAS90025.1  99.6      100       0          3826      25152  30999  +     
AAS90086.1  AAS90026.1  100       100       3.52e-304  828       32263  33598  -     
AAS90072.1  AAS90027.1  98.6      100       2.78e-304  828       34338  35800  +     
AAS90073.1  AAS90028.1  100       100       1e-201     555       36371  37208  +     
AAS90075.1  AAS90029.1  99.7      100       1.87e-240  656       38127  39129  +     
AAS90074.1  AAS90040.1  99.2      100       5.65e-293  795       39419  40704  +     
AAS90076.1  AAS90030.1  99.6      100       1.71e-185  513       41517  42418  +     
AAS90077.1  AAS90031.1  99.4      100       0          1008      43449  44980  +     
AAS90078.1  AAS90032.1  99.2      100       0          1017      46034  47626  -     
AAS90079.1  AAS90033.1  99.8      100       0          1007      47993  49550  -     
AAS90090.1  AAS90043.1  99.3      100       8.85e-198  546       50585  51434  -     
AAS90080.1  AAS90034.1  98.7      100       1.12e-282  769       51610  52945  -     
AAS90087.1  AAS90041.1  99        100       5.02e-309  838       54201  55688  -     
AAS90081.1  AAS90035.1  99.6      100       0          1095      56933  58884  +     
AAS90088.1  AAS90042.1  99.7      100       0          1283      59397  61384  +     
AAS90082.1  AAS90036.1  97.8      100       0          1023      61953  63602  -     
AAS90084.1  AAS90038.1  94.7      100       9.9e-187   516       66230  67031  -     
AAS90089.1  AAS90039.1  97.6      100       0          1000      67383  68984  -     


AY510454
========
AY510454.1
----------
Cluster 7, score 19.8338:
Query       Subject     Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS90069.1  AAS90046.1  93.7      100       0          967       10718  12694  +     
AAS90070.1  AAS90048.1  95.2      100       7.78e-184  509       22838  23807  +     
AAS90073.1  AAS90053.1  93.3      96        6.43e-180  500       42120  42930  +     
AAS90075.1  AAS90054.1  93        100       9.46e-225  617       43888  44888  +     
AAS90074.1  AAS90055.1  94.6      100       8.49e-279  759       45178  46463  +     
AAS90076.1  AAS90056.1  98.5      100       1.16e-183  508       47284  48187  +     
AAS90077.1  AAS90057.1  93.1      99.8      0          949       49220  50767  +     
AAS90078.1  AAS90058.1  92.3      100       0          950       51844  53456  -     
AAS90083.1  AAS90063.1  92.6      99.5      0          1160      70379  72194  +     
AAS90084.1  AAS90064.1  90.7      100       2.58e-178  495       72460  73267  -     
AAS90089.1  AAS90068.1  90.1      99        0          924       73630  75223  -     


AY510455
========
AY510455.1
----------
Cluster 8, score 45.4345:
Query       Subject     Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS90069.1  AAS90069.1  100       100       0          1036      4801   6782   +     
AAS90070.1  AAS90070.1  100       100       1.72e-194  536       16689  17679  +     
AAS90071.1  AAS90071.1  100       100       0          3256      18987  24108  -     
AAS90085.1  AAS90085.1  100       100       0          3840      24821  30668  +     
AAS90086.1  AAS90086.1  100       100       3.52e-304  828       31931  33266  -     
AAS90072.1  AAS90072.1  100       100       3.29e-309  840       34005  35456  +     
AAS90073.1  AAS90073.1  100       100       1e-201     555       36023  36860  +     
AAS90075.1  AAS90075.1  100       100       1.13e-241  659       37779  38781  +     
AAS90074.1  AAS90074.1  100       100       4.15e-295  801       39071  40356  +     
AAS90076.1  AAS90076.1  100       100       5.97e-186  514       41170  42070  +     
AAS90077.1  AAS90077.1  100       100       0          1013      43102  44633  +     
AAS90078.1  AAS90078.1  100       100       0          1024      45687  47279  -     
AAS90079.1  AAS90079.1  100       100       0          1008      47646  49203  -     
AAS90090.1  AAS90090.1  100       100       5.34e-199  549       50238  51087  -     
AAS90080.1  AAS90080.1  100       100       4.97e-286  778       51257  52592  -     
AAS90087.1  AAS90087.1  100       100       1.91e-313  850       53849  55336  -     
AAS90081.1  AAS90081.1  100       100       0          1099      56582  58533  +     
AAS90088.1  AAS90088.1  100       100       0          1286      59047  61034  +     
AAS90082.1  AAS90082.1  100       100       0          1048      61575  63224  -     
AAS90083.1  AAS90083.1  100       100       0          1255      63836  65582  +     
AAS90084.1  AAS90084.1  100       100       1.04e-197  544       65848  66649  -     
AAS90089.1  AAS90089.1  100       100       0          1026      67003  68604  -     


GCA_000006275
=============
AAIH03000181.1
--------------
Cluster 9, score 42.3384:
Query       Subject      Identity  Coverage  E-value    Bitscore  Start    End      Strand
AAS90084.1  AFLA_006286  98        94        3.96e-174  502       2186340  2189096  +     
AAS90089.1  AFLA_006286  97.1      98.2      0          964       2186340  2189096  +     
AAS90083.1  AFLA_006287  96.1      97.6      0          1172      2189196  2191174  -     
AAS90082.1  AFLA_006288  99.8      100       0          1045      2191720  2193369  +     
AAS90088.1  AFLA_006289  100       100       0          1286      2193910  2195897  -     
AAS90081.1  AFLA_006290  100       100       0          1099      2196411  2198362  -     
AAS90087.1  AFLA_006291  97.6      100       3.12e-303  824       2199608  2201095  +     
AAS90080.1  AFLA_006292  94.6      100       1.5e-271   741       2202375  2203709  +     
AAS90090.1  AFLA_006293  89.7      100       5.76e-178  496       2203882  2204731  +     
AAS90079.1  AFLA_006295  97.6      100       0          989       2205676  2207305  +     
AAS90078.1  AFLA_006296  99.2      100       0          1014      2207672  2209264  +     
AAS90077.1  AFLA_006298  97.4      100       0          991       2210318  2212022  -     
AAS90076.1  AFLA_006300  99.6      100       1.71e-185  513       2212880  2213781  -     
AAS90074.1  AFLA_006301  100       100       4.15e-295  801       2214595  2215880  -     
AAS90075.1  AFLA_006302  99.7      100       1.87e-240  656       2216170  2217172  -     
AAS90073.1  AFLA_006304  95.5      95.7      3.77e-178  496       2217953  2218928  -     
AAS90072.1  AFLA_006305  98.6      100       5.61e-304  827       2219495  2220947  -     
AAS90086.1  AFLA_006306  99.8      100       1.43e-303  827       2221685  2223020  +     
AAS90085.1  AFLA_006307  99.7      100       0          3830      2224289  2230136  -     
AAS90071.1  AFLA_006308  99.9      100       0          3255      2230511  2235970  +     
AAS90070.1  AFLA_006309  99.6      100       9.96e-194  535       2237280  2238270  -     
AAS90069.1  AFLA_006312  99.1      100       0          1023      2247774  2250222  -     


GCA_000184455
=============
BA000051.1
----------
Cluster 10, score 33.9396:
Query       Subject         Identity  Coverage  E-value    Bitscore  Start    End      Strand
AAS90082.1  AO090026000029  99.4      100       0          1042      5043873  5045522  +     
AAS90088.1  AO090026000028  99.7      100       0          1283      5046065  5048052  -     
AAS90081.1  AO090026000027  99.2      100       0          1089      5048566  5050517  -     
AAS90087.1  AO090026000026  97        100       1.6e-305   830       5051762  5053249  +     
AAS90080.1  AO090026000025  99        100       3.22e-282  768       5054514  5055849  +     
AAS90090.1  AO090026000024  98.2      100       2e-194     537       5056026  5056875  +     
AAS90079.1  AO090026000022  97.8      100       0          992       5057911  5059468  +     
AAS90078.1  AO090026000021  98.4      100       0          1009      5059835  5061427  +     
AAS90077.1  AO090026000020  93.1      99.8      0          945       5062478  5064014  -     
AAS90076.1  AO090026000019  99.2      100       6.97e-185  511       5065045  5065945  -     
AAS90075.1  AO090026000017  98.4      97.1      3.73e-229  628       5068333  5069849  -     
AAS90073.1  AO090026000016  98.9      100       9.62e-200  550       5070255  5071092  -     
AAS90072.1  AO090026000015  96.1      100       9.91e-294  801       5071653  5073104  -     
AAS90086.1  AO090026000014  99.3      100       5.59e-301  820       5073843  5075178  +     
AAS90085.1  AO090026000013  99.4      100       0          3821      5076456  5082303  -     
AAS90071.1  AO090026000012  99.2      100       0          3235      5082992  5088137  +     
AAS90070.1  AO090026000011  99.6      100       9.96e-194  535       5089451  5090441  -     


GCA_000269785
=============
AKHY01000106.1
--------------
Cluster 11, score 36.0037:
Query       Subject       Identity  Coverage  E-value    Bitscore  Start   End     Strand
AAS90082.1  Ao3042_02185  99.4      100       0          1042      126681  128330  +     
AAS90088.1  Ao3042_02186  99.5      100       0          1282      128873  130860  -     
AAS90081.1  Ao3042_02187  99.2      100       0          1089      131374  133325  -     
AAS90087.1  Ao3042_02188  97        100       1.6e-305   830       134570  136057  +     
AAS90080.1  Ao3042_02189  99        100       3.22e-282  768       137294  138657  +     
AAS90090.1  Ao3042_02190  98.2      100       2e-194     537       138832  139681  +     
AAS90079.1  Ao3042_02191  97.8      100       0          992       140717  142274  +     
AAS90078.1  Ao3042_02192  98.6      100       0          1010      142641  144233  +     
AAS90077.1  Ao3042_02194  93.1      99.8      0          945       145134  146820  -     
AAS90076.1  Ao3042_02195  99.6      100       1.71e-185  513       147780  148839  -     
AAS90075.1  Ao3042_02197  98.4      97.1      3.73e-229  628       151056  152656  -     
AAS90073.1  Ao3042_02198  98.9      100       9.62e-200  550       153062  153899  -     
AAS90072.1  Ao3042_02199  96.1      100       9.91e-294  801       154460  155911  -     
AAS90086.1  Ao3042_02200  99.3      100       5.59e-301  820       156650  157985  +     
AAS90085.1  Ao3042_02201  98.5      94.1      0          3544      159029  165743  -     
AAS90071.1  Ao3042_02202  99.2      100       0          3235      165794  170939  +     
AAS90070.1  Ao3042_02203  99.6      100       9.96e-194  535       172255  173245  -     
AAS90069.1  Ao3042_02206  99.4      89.3      0          916       181884  185129  -     


GCA_000691885
=============
AMCJ01000074.1
--------------
Cluster 12, score 30.8448:
Query       Subject       Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS90070.1  AO1008_10622  99.6      100       9.96e-194  535       50721  51711  +     
AAS90071.1  AO1008_10623  99.2      100       0          3235      53026  58171  -     
AAS90085.1  AO1008_10624  99.4      100       0          3821      58222  64936  +     
AAS90086.1  AO1008_10625  99.3      100       5.59e-301  820       65959  67294  -     
AAS90072.1  AO1008_10626  96.1      100       9.91e-294  801       68033  69484  +     
AAS90073.1  AO1008_10627  98.9      100       9.62e-200  550       70045  70882  +     
AAS90075.1  AO1008_10628  98.4      97.1      3.73e-229  628       71288  72888  +     
AAS90076.1  AO1008_10630  99.6      100       1.71e-185  513       75105  76164  +     
AAS90078.1  AO1008_10633  98.6      100       0          1010      78963  81303  -     
AAS90079.1  AO1008_10634  97.8      100       0          992       81670  83227  -     
AAS90090.1  AO1008_10635  98.2      100       2e-194     537       84263  85112  -     
AAS90080.1  AO1008_10636  99        100       3.22e-282  768       85287  86650  -     
AAS90087.1  AO1008_10637  97        100       1.6e-305   830       87887  89374  -     
AAS90081.1  AO1008_10638  99.1      100       0          1084      90619  92570  +     
AAS90088.1  AO1008_10639  99.5      100       0          1282      93084  95071  +     
AAS90082.1  AO1008_10640  99.4      100       0          1042      95614  97263  -     


GCA_000952835
=============
JZDT01000749.1
--------------
Cluster 13, score 32.3763:
Query       Subject            Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS90073.1  AFLA70_106g003470  100       95.7      9.26e-191  529       1807   2782   +     
AAS90075.1  AFLA70_106g003482  99.7      100       1.87e-240  656       3534   4582   +     
AAS90074.1  AFLA70_106g003491  99.2      100       5.65e-293  795       4855   6140   +     
AAS90076.1  AFLA70_106g003492  99.6      100       1.71e-185  513       6953   7854   +     
AAS90077.1  AFLA70_106g003511  99.4      100       0          1008      8712   10416  +     
AAS90078.1  AFLA70_106g003531  99.2      100       0          1017      11395  13106  -     
AAS90079.1  AFLA70_106g003541  99.8      100       0          1007      13320  15089  -     
AAS90090.1  AFLA70_106g003561  99.3      96.1      3.99e-190  526       15957  16870  -     
AAS90080.1  AFLA70_106g003571  98.7      100       1.12e-282  769       17001  18475  -     
AAS90087.1  AFLA70_106g003581  99        100       5.02e-309  838       19469  21211  -     
AAS90081.1  AFLA70_106g003590  99.6      100       0          1095      22195  24526  +     
AAS90088.1  AFLA70_106g003600  99.7      100       0          1283      24756  26819  +     
AAS90082.1  AFLA70_106g003611  97.8      100       0          1023      27186  29129  -     
AAS90083.1  AFLA70_106g003621  95.7      99.7      0          1188      29506  31620  +     
AAS90084.1  AFLA70_106g003631  94.7      100       2.39e-186  516       31665  32554  -     
AAS90089.1  AFLA70_106g003632  97.6      100       0          1000      32818  34419  -     

JZDT01000855.1
--------------
Cluster 14, score 9.9453:
Query       Subject            Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS90086.1  AFLA70_210g001170  100       100       3.52e-304  828       974    2309   +     
AAS90085.1  AFLA70_210g001181  98.7      100       0          3816      3455   9420   -     
AAS90071.1  AFLA70_210g001191  99.9      100       0          3255      9924   15330  +     
AAS90070.1  AFLA70_210g001201  99.3      100       2.26e-192  532       16110  17604  -     
AAS90069.1  AFLA70_210g001231  98.9      100       0          1022      26997  29591  -     


GCA_000956085
=============
JZEE01000728.1
--------------
Cluster 15, score 7.8441:
Query       Subject        Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS90069.1  P875_00052986  98        100       0          1005      4400   8760   +     
AAS90070.1  P875_00052988  97        100       1.39e-183  515       17694  19731  +     
AAS90071.1  P875_00052994  96.7      100       0          3140      21008  26450  -     
AAS90085.1  P875_00052979  97.2      100       0          3781      26828  32674  +     

JZEE01000729.1
--------------
Cluster 16, score 15.8999:
Query       Subject        Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS90072.1  P875_00052983  97        100       2.25e-296  808       1413   2857   +     
AAS90076.1  P875_00052984  99.2      100       6.97e-185  511       8567   9467   +     
AAS90077.1  P875_00052981  94.1      99.8      0          962       10326  12030  +     
AAS90079.1  P875_00052996  97.8      98.6      0          976       13081  16606  -     
AAS90087.1  P875_00052999  97.3      99.3      1.59e-293  816       18632  22769  -     
AAS90088.1  P875_00052980  98.8      100       0          1275      26546  28531  +     
AAS90082.1  P875_00052993  97.6      100       0          1022      29097  30746  -     
AAS90083.1  P875_00052982  93.3      100       0          1173      31300  33192  +     
AAS90084.1  P875_00053036  93.2      100       5.26e-182  504       33375  34176  -     
AAS90089.1  P875_00053033  93.5      99        0          952       34535  36128  -     


GCA_001204775
=============
JNOM01000034.1
--------------
Cluster 17, score 7.3790:
Query       Subject      Identity  Coverage  E-value    Bitscore  Start   End     Strand
AAS90089.1  ANOM_001649  90.1      99        0          924       116298  117891  +     
AAS90084.1  ANOM_001650  90.7      100       6.19e-178  495       118182  119061  +     
AAS90078.1  ANOM_001657  93.3      96.2      0          924       134176  139675  +     
AAS90077.1  ANOM_001659  93.1      99.8      0          949       140751  142474  -     
AAS90073.1  ANOM_001664  93.2      95.7      1.43e-178  498       148413  149443  -     

JNOM01000247.1
--------------
Cluster 18, score 1.0965:
Query       Subject      Identity  Coverage  E-value  Bitscore  Start  End    Strand
AAS90069.1  ANOM_008220  90.9      100       0        965       28945  30973  -     


GCA_001792695
=============
LYCR01000023.1
--------------
Cluster 21, score 3.1625:
Query       Subject      Identity  Coverage  E-value   Bitscore  Start  End    Strand
AAS90083.1  ABOM_002555  91.5      97.6      0         1126      69630  71614  +     
AAS90084.1  ABOM_002556  90.6      100       1.9e-172  499       71717  74467  -     

Cluster 19, score 3.1408:
Query       Subject      Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS90069.1  ABOM_002531  92.3      100       0          983       10106  12082  +     
AAS90070.1  ABOM_002534  82.7      100       9.16e-151  425       22010  22981  +     

Cluster 20, score 1.0613:
Query       Subject      Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS90075.1  ABOM_002541  91.4      100       1.63e-223  613       43157  44160  +     


GCA_002007945
=============
MKZY01000001.1
--------------
Cluster 22, score 20.9717:
Query       Subject         Identity  Coverage  E-value    Bitscore  Start    End      Strand
AAS90084.1  OAory_01037910  94.4      100       7.76e-178  514       4967255  4970008  +     
AAS90083.1  OAory_01037920  96.3      97.6      0          1176      4970108  4972088  -     
AAS90082.1  OAory_01037930  98        100       0          1026      4972634  4974283  +     
AAS90088.1  OAory_01037940  99.4      100       0          1279      4974852  4976839  -     
AAS90081.1  OAory_01037950  99.4      100       0          1090      4977353  4979304  -     
AAS90087.1  OAory_01037960  99        100       1.01e-308  838       4980549  4982036  +     
AAS90080.1  OAory_01037970  98.7      100       1.31e-281  766       4983301  4984636  +     
AAS90090.1  OAory_01037980  98.2      100       2e-194     537       4984811  4985660  +     
AAS90079.1  OAory_01038000  98        98.4      0          978       4986696  4990167  +     
AAS90077.1  OAory_01038020  99.2      100       0          1003      4991261  4992965  -     
AAS90076.1  OAory_01038040  99.2      100       2.84e-184  510       4993823  4994724  -     


GCA_002443215
=============
NWUG02000948.1
--------------
Cluster 23, score 20.2778:
Query       Subject       Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS90069.1  COH21_011550  98.5      100       0          1024      4843   6824   +     
AAS90070.1  COH21_011553  100       100       1.72e-194  536       16730  18299  +     
AAS90071.1  COH21_011554  100       100       0          3256      19028  24487  -     
AAS90085.1  COH21_011555  99.2      100       0          3829      24862  30709  +     
AAS90086.1  COH21_011556  100       100       3.52e-304  828       31972  33307  -     
AAS90072.1  COH21_011557  99.3      100       5.02e-307  835       34046  35523  +     
AAS90073.1  COH21_011558  95.5      95.7      3.77e-178  496       36064  37039  +     
AAS90075.1  COH21_011560  100       100       1.13e-241  659       37820  38822  +     
AAS90074.1  COH21_011561  100       100       4.15e-295  801       39112  40586  +     
AAS90076.1  COH21_011562  100       100       5.97e-186  514       41198  42253  +     

NWUG02000481.1
--------------
Cluster 24, score 11.6160:
Query       Subject       Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS90081.1  COH21_012120  100       98.1      0          1080      24     2121   +     
AAS90088.1  COH21_012121  100       100       0          1286      2422   4446   +     
AAS90082.1  COH21_012122  100       100       0          1048      4707   6636   -     
AAS90083.1  COH21_012123  96.3      97.6      0          1176      7182   9355   +     
AAS90084.1  COH21_012124  100       100       2.53e-197  544       9260   10133  -     
AAS90089.1  COH21_012125  100       100       0          1026      10415  12046  -     

NWUG02000523.1
--------------
Cluster 25, score 9.4201:
Query       Subject       Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS90078.1  COH21_012385  100       100       0          1024      2306   3931   -     
AAS90079.1  COH21_012386  100       100       0          1008      4298   5855   -     
AAS90090.1  COH21_012388  100       100       5.34e-199  549       6890   7739   -     
AAS90080.1  COH21_012389  100       100       4.97e-286  778       7909   9280   -     
AAS90087.1  COH21_012390  97.9      100       3e-310     842       10353  12052  -     


GCA_002456175
=============
NWUH02000283.1
--------------
Cluster 26, score 45.4171:
Query       Subject       Identity  Coverage  E-value    Bitscore  Start   End     Strand
AAS90069.1  COH20_009221  98.5      100       0          1024      68050   70031   +     
AAS90070.1  COH20_009224  100       100       1.72e-194  536       79937   81506   +     
AAS90071.1  COH20_009225  100       100       0          3256      82235   87694   -     
AAS90085.1  COH20_009226  99.2      100       0          3829      88069   93916   +     
AAS90086.1  COH20_009227  100       100       3.52e-304  828       95179   96514   -     
AAS90072.1  COH20_009228  99.3      100       5.02e-307  835       97253   98730   +     
AAS90073.1  COH20_009229  95.5      95.7      3.77e-178  496       99271   100246  +     
AAS90075.1  COH20_009231  100       100       1.13e-241  659       101027  102029  +     
AAS90074.1  COH20_009232  100       100       4.15e-295  801       102319  103793  +     
AAS90076.1  COH20_009233  100       100       5.97e-186  514       104405  105460  +     
AAS90077.1  COH20_009235  100       100       0          1013      106177  107881  +     
AAS90078.1  COH20_009237  100       100       0          1024      108902  110527  -     
AAS90079.1  COH20_009238  100       100       0          1008      110894  112451  -     
AAS90090.1  COH20_009240  100       100       5.34e-199  549       113486  114335  -     
AAS90080.1  COH20_009241  100       100       4.97e-286  778       114505  115876  -     
AAS90087.1  COH20_009242  97.9      100       3e-310     842       116949  118648  -     
AAS90081.1  COH20_009243  100       100       0          1099      119830  121957  +     
AAS90088.1  COH20_009244  100       100       0          1286      122258  124282  +     
AAS90082.1  COH20_009245  100       100       0          1048      124543  126472  -     
AAS90083.1  COH20_009246  96.3      97.6      0          1176      127018  129191  +     
AAS90084.1  COH20_009247  100       100       2.53e-197  544       129096  129969  -     
AAS90089.1  COH20_009248  100       100       0          1026      130251  131882  -     


GCA_002749805
=============
NEXV01000673.1
--------------
Cluster 27, score 24.6193:
Query       Subject       Identity  Coverage  E-value    Bitscore  Start   End     Strand
AAS90089.1  AARAC_001496  95.6      100       0          984       190021  191663  +     
AAS90084.1  AARAC_001497  94.7      100       4.7e-185   512       192012  192813  +     
AAS90082.1  AARAC_001499  97.8      100       0          1022      195388  197358  +     
AAS90088.1  AARAC_001500  98.3      100       0          1262      197385  199644  -     
AAS90081.1  AARAC_001501  96.4      100       0          1064      200159  202159  -     
AAS90087.1  AARAC_001502  94.6      100       1.24e-295  805       203423  204907  +     
AAS90073.1  AARAC_001508  96.6      95.7      1.91e-183  510       221772  222792  -     
AAS90072.1  AARAC_001509  97.3      100       2.55e-300  818       223072  225005  -     
